Expected Runtime(s),Num Processes,Universe Size,Insert Rate,Remove Rate,Search Rate,Pred Rate,Dynamic Set Type,Average Runtime(s),Start Time Variance(µs),End Time Variance(µs),Total Throughput,Throughput Per Second,Average Throughput,Average Throughput Per Second,Max Proc Throughput,Max Throughput Per Second,Max Exceeds Average by x%,Min Proc Throughput,Min Throughput Per Second,Min Below Average by x%,Total Preds,Average Preds,Min Preds,Max Preds,Total Searches,Average Searches,Min Searches,Max Searches,Total Inserts,Total Successful Inserts,Average Inserts,Average Successful Inserts,Min Inserts,Max Inserts,Min Successful Inserts,Max Successful Inserts,Total Removes,Total Successful Removes,Average Removes,Average Successful Removes,Min Removes,Max Removes,Min Successful Removes,Max Successful Removes
5,4,1048576,1,1,8,0,Fomitchev/Ruppert SkipListSet,5.000035,0,71,13024750,2604931.8,3256187.5,651232.94,3261100,652215.43,0.15086662,3249300,649855.45,0.21152037,0,0,0,0,10421290,2605322.5,2599916,2608984,1300870,650136,325217.5,162534,324851,325858,162205,163111,1302590,650726,325647.5,162681.5,324148,327222,161593,163823
5,4,1048576,1,1,8,0,Fomitchev/Ruppert SkipListSet,5.000045,0,20,13132450,2626466.4,3283112.5,656616.59,3293850,658764.07,0.32705245,3271750,654344.11,0.34608927,0,0,0,0,10506337,2626584.2,2616703,2635431,1312095,656119,328023.75,164029.75,326904,329024,163685,164532,1314018,656985,328504.5,164246.25,327403,329395,163770,164622
5,5,1048576,1,1,8,0,Fomitchev/Ruppert SkipListSet,4.998051,5992,2055,13434600,2687967.8,2686920,537593.55,3382800,676823.83,25.898799,1674350,335000.58,37.685156,0,0,0,0,10749185,2149837,1339426,2706663,1342638,672164,268527.6,134432.8,167430,338202,83828,169280,1342777,671808,268555.4,134361.6,166872,338183,83440,169253
5,5,1048576,1,1,8,0,Fomitchev/Ruppert SkipListSet,5.000048,63,73,15931300,3186229.4,3186260,637245.88,3254500,650893.75,2.1416959,2995900,599174.25,5.9744026,0,0,0,0,12745070,2549014,2396054,2605076,1592868,796690,318573.6,159338,300247,325752,149967,162954,1593362,796439,318672.4,159287.8,299599,324683,149711,162548
5,5,1048576,1,1,8,0,Fomitchev/Ruppert SkipListSet,4.998047,3988,56,15797350,3160704.6,3159470,632140.91,3255350,651324.41,3.0346862,2939050,588039.69,6.9764866,0,0,0,0,12639278,2527855.6,2351785,2605338,1579697,789070,315939.4,157814,294044,325037,146929,162531,1578375,789267,315675,157853.4,293221,324975,146733,162497
5,5,1048576,1,1,8,0,Fomitchev/Ruppert SkipListSet,4.998563,3002,54,15884700,3177853.3,3176940,635570.66,3247850,649756.74,2.232022,2979700,596111.32,6.2084899,0,0,0,0,12706691,2541338.2,2384244,2597060,1588490,794603,317698,158920.6,298300,324961,149287,162738,1589519,795207,317903.8,159041.4,297156,325829,149170,162901
5,5,1048576,1,1,8,0,Fomitchev/Ruppert SkipListSet,4.996557,7007,26,15756900,3153551.5,3151380,630710.31,3243450,649137,2.9215772,2920100,584422.43,7.339007,0,0,0,0,12606371,2521274.2,2336331,2594650,1575241,787336,315048.2,157467.2,292251,324063,146559,162018,1575288,787294,315057.6,157458.8,291518,324737,145739,162234
5,6,1048576,1,1,8,0,Fomitchev/Ruppert SkipListSet,5.000002,67,31,18633350,3726668.5,3105558.3,621111.42,3212850,642569.74,3.454827,2882350,576469.77,7.1873818,0,0,0,0,14907361,2484560.2,2305707,2569979,1863848,931108,310641.33,155184.67,288174,321541,143845,160511,1862141,931169,310356.83,155194.83,288469,321330,144562,160555
5,6,1048576,1,1,8,0,Fomitchev/Ruppert SkipListSet,5.000003,58,52,18211000,3642197.8,3035166.7,607032.97,3212350,642469.61,5.8376805,2682650,536529.68,11.614409,0,0,0,0,14568276,2428046,2145796,2569484,1821107,910578,303517.83,151763,268791,321609,134349,160642,1821617,909860,303602.83,151643.33,268063,321392,133574,160414
5,6,1048576,1,1,8,0,Fomitchev/Ruppert SkipListSet,4.998057,3973,77,17594300,3520228,2932383.3,586704.66,3313600,662977.63,13.000233,2223750,444922.9,24.165781,0,0,0,0,14074952,2345825.3,1778666,2651885,1758971,878685,293161.83,146447.5,222492,331232,110909,165870,1760377,879379,293396.17,146563.17,222592,330749,111370,165264
